,Unnamed: 0,Ticker,Category,Api key,Entry reasons,Exit reasons,Description,Conclusion,Entry time,Leverage,MFE,MAE,Avg. entry price,Exit time,Avg. exit price,Duration,Side,Percent,Net profit (%),Funding,PNL,Cumulative PNL,QTY,Peak qty,Volume,Commission,Month
0,0,IOTAUSDT,,Api-hs1,,,,,2024-07-10 00:14:04,0.01999989,0.1544,-4.3227,0.26167564,2024-07-10 01:02:57,0.26,0 days 00:48:53,SHORT,0.26,0.0,0.0,8.5,8.5,16010.0,16010.0,8368.037,0.02301665,2024-07
1,1,IMXUSDT,,Api-hs1,,,,,2024-07-10 03:08:03,0.01002286,0.4344,-0.9526,2.6245,2024-07-10 03:24:25,2.6179,0 days 00:16:22,SHORT,0.25,0.0,0.0,3.799999999999999,12.3,800.0,800.0,4193.92,0.01468664,2024-07
2,2,DYDXUSDT,,Api-hs1,,,,,2024-07-10 06:17:04,0.00998347,0.2969,-33.0,3.031,2024-07-10 06:19:35,3.039,0 days 00:02:31,LONG,0.26,0.0,0.0,4.1000000000000005,16.4,690.0,690.0,4188.3,0.01465077,2024-07
3,3,STXUSDT,,Api-hs1,,,,,2024-07-10 10:05:05,0.01011605,0.2605,-0.5153,1.766,2024-07-10 10:14:25,1.7704,0 days 00:09:20,LONG,0.25,0.0,0.0,3.799999999999999,20.2,1200.0,1200.0,4243.679999999999,0.01484496,2024-07
4,4,INJUSDT,,Api-hs1,,,,,2024-07-10 10:50:04,0.00992314,0.28,-1.0073,34.647,2024-07-10 11:02:31,34.734,0 days 00:12:27,LONG,0.25,0.0,0.0,3.799999999999999,24.0,60.0,60.0,4162.86,0.01456218,2024-07
5,5,TIAUSDT,,Api-hs1,,,,,2024-07-10 10:52:04,0.00943276,0.4099,-0.3608,19.7609,2024-07-10 10:55:01,19.8103,0 days 00:02:57,LONG,0.25,0.0,0.0,3.5999999999999988,27.59999999999999,100.0,100.0,3957.12,0.01384251,2024-07
6,6,INJUSDT,,Api-hs1,,,,,2024-07-10 12:28:05,0.00980275,0.2746,-0.1461,34.228,2024-07-10 12:32:02,34.314,0 days 00:03:57,LONG,0.25,0.0,0.0,3.700000000000001,31.29999999999999,60.0,60.0,4112.52,0.01438608,2024-07
7,7,TIAUSDT,,Api-hs1,,,,,2024-07-10 13:45:05,0.00984166,0.0,0.0,20.6187,2024-07-10 13:45:18,20.5672,0 days 00:00:13,SHORT,0.25,0.0,0.0,3.700000000000001,34.99999999999999,100.0,100.0,4118.589999999999,0.01442279,2024-07
8,8,IMXUSDT,,Api-hs1,,,,,2024-07-10 14:30:06,0.0102064,0.6585,-1.5489,2.6729,2024-07-10 16:11:21,2.6796,0 days 01:41:15,LONG,0.25,0.0,-0.00106482,3.799999999999999,38.79999999999999,800.0,800.0,4282.0,0.01497895,2024-07
9,9,TIAUSDT,,Api-hs1,,,,,2024-07-10 16:23:04,0.00967805,325.0,-1.1728,20.2765,2024-07-10 18:21:28,20.3272,0 days 01:58:24,LONG,0.25,0.0,0.0,3.600000000000003,42.39999999999999,100.0,100.0,4060.37,0.01420369,2024-07
